Company Name,"Net Sales
(Rs. cr)",Inventory,"% of Curr.
Assets","Net Profit
(Rs. cr)","Employee
Costs","% of Net
Sales","Total
Assets",,Company Name,"Net Sales
(Rs. cr)",Inventory,"% of Curr.
Assets","Net Profit
(Rs. cr)","Employee
Costs","% of Net
Sales","Total
Assets"
KRBL,,"3,128.85",88.62,,,,,,,,,,,,,
Brigade Ent,,"3,048.41",86.63,,,,,,,,,,,,,
Patel Eng,,"2,874.05",89.96,,,,,,,,,,,,,
Sun Pharma,,"2,792.62",34.20,,"1,571.34",15.25,"23,717.39",,,,,,,,,
Bajaj Hindustha,,"2,764.98",91.24,,,,,,,,,,,,,
Jindal Saw,,"2,746.37",58.19,,,,,,,,,,,,,
Omaxe,,"2,619.68",85.85,,,,,,,,,,,,,
Dilip Buildcon,,"2,503.76",61.04,,,,,,,,,,,,,
Vardhman Text,,"2,442.13",75.24,,,,,,,,,,,,,
Balrampur Chini,,"2,316.07",83.58,,,,,,,,,,,,,
Lupin,,"2,305.98",37.85,"1,538.83","1,515.42",13.34,,,,,,,,,,
Bombay Rayon,,"2,208.94",60.86,,,,,,,,,,,,,
Bombay Dyeing,,"2,200.52",65.35,"1,229.98",,,,,,,,,,,,
Triveni Engg,,"2,118.66",87.24,,,,,,,,,,,,,
Dr Reddys Labs,,"2,015.60",34.48,"1,277.30","1,931.90",18.18,,,,,,,,,,
Polycab,,"1,980.43",54.44,,,,,,,,,,,,,
Future Life,,"1,976.60",87.04,,,,,,,,,,,,,
Aditya Birla F,,"1,921.28",69.48,,,,,,,,,,,,,
Havells India,,"1,917.03",53.15,,,,,,,,,,,,,
DCM Shriram,,"1,889.09",57.08,,,,,,,,,,,,,
United Spirits,,"1,876.70",42.14,,,,,,,,,,,,,
UPL,,"1,866.00",39.71,,,,,,,,,,,,,
NBCC (India),,"1,832.32",33.19,,,,,,,,,,,,,
Graphite India,,"1,820.83",71.25,"2,805.75",,,,,,,,,,,,
Exide Ind,,"1,803.97",60.97,,,,,,,,,,,,,
BEML,,"1,702.27",50.86,,,,,,,,,,,,,
Bharat Dynamics,,"1,664.53",63.46,,,,,,,,,,,,,
Divis Labs,,"1,663.18",54.52,"1,332.65",,,,,,,,,,,,
Dhampur Sugar,,"1,656.97",83.63,,,,,,,,,,,,,
Shree Renuka,,"1,642.89",89.02,,,,,,,,,,,,,
Godrej Prop,,"1,580.10",80.38,,,,,,,,,,,,,
Kolte-Patil,,"1,527.27",92.91,,,,,,,,,,,,,
Rashtriya Chem,,"1,478.78",24.51,,,,,,,,,,,,,
NLC India,,"1,464.38",22.92,"1,266.97","2,963.68",41.47,"20,321.87",,,,,,,,,
Emami Realty,,"1,434.09",98.09,,,,,,,,,,,,,
GSFC,,"1,430.26",58.85,,,,,,,,,,,,,
Avadh Sugar,,"1,426.68",91.56,,,,,,,,,,,,,
Cadila Health,,"1,410.40",39.13,"1,602.10",974.50,15.01,,,,,,,,,,
Arvind,,"1,364.93",64.67,,,,,,,,,,,,,
Torrent Pharma,,"1,358.30",46.01,,"1,014.06",17.60,,,,,,,,,,
Chambal Fert,,"1,323.15",21.31,,,,,,,,,,,,,
Peninsula Land,,"1,313.39",94.81,,,,,,,,,,,,,
Jindal (Hisar),,"1,310.65",62.38,,,,,,,,,,,,,
HEG,,"1,308.39",42.86,"3,050.43",,,,,,,,,,,,
Coal India,,,,"10,469.67",,,,,,,,,,,,
Reliance Comm,,,,"2,847.00",,,,,,,,,,,,
Bharti Infratel,,,,"2,779.00",,,,,,,,,,,,
Adani Ports,,,,"2,637.72",,,"39,547.27",,,,,,,,,
NHPC,,,,"2,630.55","1,704.65",20.89,"32,090.05",,,,,,,,,
Alok Industries,,,,"2,282.13",,,,,,,,,,,,
General Insuran,,,,"2,224.31",,,"31,769.04",,,,,,,,,
Eicher Motors,,,,"2,054.44",,,,,,,,,,,,
Muthoot Finance,,,,"1,972.14",,,"36,457.13",,,,,,,,,
Godrej Consumer,,,,"1,754.98",,,,,,,,,,,,
